trade_type,entry_time,entry_price,exit_time,exit_price,size,gross_pnl_inr,swap_charges_inr,fees_inr,mae_inr,net_pnl_inr,margin_inr,status
LONG,2024-11-06 06:30:00,31.52078,2024-11-06 06:30:00,32.02078,0.01000,2200.00000,0.00000,88.74000,203.62760,2111.26000,79.46000,CLOSED_TP_SAME_CANDLE
SHORT_ORIG,2024-11-06 06:30:00,33.52078,2024-11-06 06:30:00,32.52078,0.01000,4400.00000,0.00000,88.74000,0.00000,4311.26000,79.46000,CLOSED_TP_SAME_CANDLE
SHORT_ORIG,2024-11-06 13:00:00,33.52078,2024-11-06 13:00:00,32.52078,0.01000,4400.00000,0.00000,88.74000,0.00000,4311.26000,79.46000,CLOSED_TP_SAME_CANDLE
SHORT_ORIG,2024-11-06 13:30:00,33.02078,2024-11-06 13:30:00,32.02078,0.01000,4400.00000,0.00000,88.74000,0.00000,4311.26000,79.46000,CLOSED_TP_SAME_CANDLE
SHORT_ORIG,2024-11-07 01:15:00,33.01574,2024-11-07 01:15:00,32.01574,0.01000,4400.00000,0.00000,88.74000,0.00000,4311.26000,79.46000,CLOSED_TP_SAME_CANDLE
LONG,2024-11-06 13:30:00,31.02078,2024-11-07 13:30:00,31.52078,0.01000,2200.00000,-19.97000,88.74000,776.94760,2091.29000,79.46000,CLOSED_TP
LONG,2024-11-07 01:15:00,31.01574,2024-11-07 13:30:00,31.51574,0.01000,2200.00000,-0.00000,88.74000,635.98480,2111.26000,79.46000,CLOSED_TP
LONG,2024-11-06 13:00:00,31.52078,2024-11-07 20:00:00,32.02078,0.01000,2200.00000,-19.97000,88.74000,2976.94760,2091.29000,79.46000,CLOSED_TP
SHORT_ORIG,2024-11-08 00:45:00,33.85164,2024-11-08 00:45:00,32.85164,0.01000,4400.00000,0.00000,88.74000,0.00000,4311.26000,79.46000,CLOSED_TP_SAME_CANDLE
SHORT_ORIG,2024-11-08 08:00:00,33.35164,2024-11-08 08:00:00,32.35164,0.01000,4400.00000,0.00000,88.74000,0.00000,4311.26000,79.46000,CLOSED_TP_SAME_CANDLE
SHORT_ORIG,2024-11-11 01:00:00,33.23822,2024-11-11 01:00:00,32.23822,0.01000,4400.00000,0.00000,88.74000,0.00000,4311.26000,79.46000,CLOSED_TP_SAME_CANDLE
SHORT_ORIG,2024-11-11 13:30:00,32.73822,2024-11-11 13:30:00,31.73822,0.01000,4400.00000,0.00000,88.74000,0.00000,4311.26000,79.46000,CLOSED_TP_SAME_CANDLE
SHORT_ORIG,2024-11-12 03:45:00,32.56162,2024-11-12 03:45:00,31.56162,0.01000,4400.00000,0.00000,88.74000,0.00000,4311.26000,79.46000,CLOSED_TP_SAME_CANDLE
LONG,2024-11-12 03:45:00,30.56162,2024-11-13 13:30:00,31.06162,0.01000,2200.00000,-19.97000,88.74000,1651.42560,2091.29000,79.46000,CLOSED_TP
SHORT_ORIG,2024-11-13 15:00:00,32.53267,2024-11-13 15:00:00,31.53267,0.01000,4400.00000,0.00000,88.74000,0.00000,4311.26000,79.46000,CLOSED_TP_SAME_CANDLE
SHORT_ORIG,2024-11-14 02:30:00,32.11278,2024-11-14 02:30:00,31.11278,0.01000,4400.00000,0.00000,88.74000,0.00000,4311.26000,79.46000,CLOSED_TP_SAME_CANDLE
LONG,2024-11-14 02:30:00,30.11278,2024-11-14 19:15:00,30.61278,0.01000,2200.00000,-0.00000,88.74000,1859.34980,2111.26000,79.46000,CLOSED_TP
SHORT_ORIG,2024-11-15 20:15:00,32.22531,2024-11-15 20:15:00,31.22531,0.01000,4400.00000,0.00000,88.74000,0.00000,4311.26000,79.46000,CLOSED_TP_SAME_CANDLE
LONG,2024-11-15 20:15:00,30.22531,2024-11-18 08:15:00,30.72531,0.01000,2200.00000,-59.91000,88.74000,207.30160,2051.35000,79.46000,CLOSED_TP
LONG,2024-11-13 15:00:00,30.53267,2024-11-18 14:30:00,31.03267,0.01000,2200.00000,-99.85000,88.74000,3706.86580,2011.41000,79.46000,CLOSED_TP
LONG,2024-11-11 13:30:00,30.73822,2024-11-18 15:30:00,31.23822,0.01000,2200.00000,-139.79000,88.74000,4611.30560,1971.47000,79.46000,CLOSED_TP
